cod_municipio,ano,n_mulheres,pop_2021,n_mulheres_por_1k_hab
3159704,2021,283,3357,84.30145963658028
3159803,2021,2623,19872,131.99476650563608
3159902,2021,2138,18613,114.86595390318594
3160009,2021,273,3602,75.79122709605774
3160108,2021,320,3886,82.34688625836336
3160207,2021,198,3799,52.11897867859963
3160306,2021,451,11604,38.86590830748018
3160405,2021,4182,28427,147.1136595490203
3160454,2021,408,7297,55.913389063998906
3160504,2021,117,1760,66.47727272727273
3160603,2021,174,3065,56.7699836867863
3160702,2021,3838,46421,82.67809827448784
3160801,2021,317,5349,59.26341372219106
3160900,2021,545,3754,145.17847629195523
3160959,2021,437,5658,77.23577235772358
3161007,2021,1485,17327,85.70439198938074
3161056,2021,227,3362,67.51933372992266
3161106,2021,2822,56477,49.967243302583356
3161205,2021,738,6520,113.19018404907976
3161304,2021,585,6274,93.24195090851131
3161403,2021,269,4800,56.041666666666664
3161502,2021,1326,12562,105.55644005731571
3161601,2021,263,3910,67.26342710997443
3161650,2021,265,4059,65.2870165065287
3161700,2021,826,8459,97.64747606100012
3161809,2021,1592,12597,126.37929665793443
3161908,2021,3097,11019,281.05998729467285
3162005,2021,3204,25561,125.3472086381597
3162104,2021,8159,35782,228.01967469677493
3162203,2021,738,7498,98.42624699919979
3162252,2021,276,4932,55.961070559610704
3162302,2021,193,2746,70.28404952658413
3162401,2021,1436,25098,57.21571439955375
3162450,2021,394,13125,30.01904761904762
3162500,2021,12719,90497,140.5460954506779
3162559,2021,685,11674,58.67740277539832
3162575,2021,828,5918,139.91213247718824
3162609,2021,459,7444,61.66039763567974
3162658,2021,240,4448,53.9568345323741
3162708,2021,1547,23709,65.24948331857101
3162807,2021,1102,15767,69.89281410541004
3162906,2021,3982,26447,150.56528150640904
